epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9723,2.83122,5.51261,3.10739,3.10022,0.00944,0.76471,0.05946,0.01709,0,0,0,0,2.62536,3.32496,2.92852,2.6613,8e-05,8e-05,8e-05
2,83.3009,2.29209,4.31021,2.86128,2.62439,0.0095,0.77005,0.23015,0.0703,0,0,0,0,2.52554,3.80643,2.88273,2.5966,0.00016218,0.00016218,0.00016218
3,118.851,2.15227,3.97766,2.59266,2.46588,0.00924,0.74866,0.25289,0.08488,0,0,0,0,2.31915,3.49146,2.84827,2.5174,0.00022456,0.00022456,0.00022456
4,153.942,2.09875,4.10462,2.49864,2.35362,0.00957,0.7754,0.19589,0.05433,0,0,0,0,2.38629,3.35647,2.77604,2.61892,0.00026714,0.00026714,0.00026714
5,188.523,2.07177,3.83426,2.3996,2.29356,0.0102,0.8262,0.18992,0.0575,0,0,0,0,2.31818,3.28213,2.68801,2.48238,0.00028992,0.00028992,0.00028992
6,217.223,1.7035,3.72476,2.25961,2.07553,0.01092,0.88503,0.1922,0.06055,0,0,0,0,2.23319,3.2321,2.66669,2.38886,0.0002929,0.0002929,0.0002929
7,246.669,1.95126,3.60594,2.30514,2.18853,0.04435,0.66845,0.19402,0.07246,7e-05,0.00535,3e-05,1e-05,2.13058,3.19241,2.60066,2.27778,0.00027608,0.00027608,0.00027608
8,275.935,1.74871,3.62289,2.25992,2.074,0.06632,0.65775,0.20857,0.07935,7e-05,0.00535,3e-05,1e-05,2.06101,3.17746,2.58,2.22537,0.00023946,0.00023946,0.00023946
9,305.664,1.86265,3.62276,2.34131,2.20776,0.08654,0.66043,0.25624,0.08881,0.0001,0.00802,5e-05,1e-05,2.00036,3.20329,2.559,2.18651,0.00018304,0.00018304,0.00018304
10,912.207,1.78831,3.73894,2.20077,2.16535,0.10039,0.64973,0.29347,0.10452,0.0001,0.00802,5e-05,1e-05,1.96454,3.13475,2.5207,2.15373,0.00010682,0.00010682,0.00010682
