epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5615,2.60008,5.77395,2.88172,2.60868,0.01257,0.83243,0.06116,0.01695,4e-05,0.00272,2e-05,1e-05,2.81019,3.72645,2.70628,2.77094,0.00014,0.00014,0.00014
2,18.4467,2.2611,4.78485,2.72757,2.29087,0.01189,0.78747,0.20459,0.06361,0,0,0,0,2.73791,4.35493,2.62289,3.25945,0.00029703,0.00029703,0.00029703
3,26.6774,1.99699,3.99764,2.45059,2.03806,0.06833,0.68665,0.25573,0.096,0,0,0,0,2.35894,3.64243,2.42068,3.01588,0.000450892,0.000450892,0.000450892
4,35.769,1.94223,3.69876,2.30694,2.02433,0.42472,0.297,0.28747,0.11534,2e-05,0.00136,1e-05,0,2.08689,4.59942,2.31054,2.54739,0.000601586,0.000601586,0.000601586
5,45.7879,1.89773,3.62531,2.1832,1.94165,0.28941,0.2139,0.20091,0.0793,0.00019,0.01226,9e-05,2e-05,2.28113,5.17184,2.30749,2.65173,0.000749112,0.000749112,0.000749112
6,53.911,1.73441,3.59024,2.06542,1.81457,0.31618,0.27929,0.24846,0.09696,0.00027,0.00272,4e-05,1e-05,2.1227,5.47346,2.17174,2.55553,0.00089347,0.00089347,0.00089347
7,61.4913,1.84835,3.49754,2.09535,1.9031,0.25023,0.38828,0.20286,0.07553,0.00211,0.0109,0.00024,4e-05,2.23624,4.79613,2.33304,2.80185,0.00103466,0.00103466,0.00103466
8,69.2249,1.81674,3.50281,2.04336,1.86743,0.24646,0.40327,0.19976,0.0774,0.00563,0.03815,0.00084,0.00015,2.1526,4.22123,2.59466,2.76534,0.00117268,0.00117268,0.00117268
9,76.6121,1.82821,3.54455,2.08666,1.88407,0.26706,0.40054,0.21941,0.07721,0.00238,0.0218,0.00044,7e-05,2.31652,4.88553,3.02257,2.79293,0.00130754,0.00130754,0.00130754
10,84.6783,1.82364,3.43152,2.05315,1.85284,0.3204,0.43052,0.27434,0.10519,0.00442,0.02861,0.00083,0.00014,2.05382,3.92728,3.64775,2.4885,0.00143922,0.00143922,0.00143922
