epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2226,2.49908,6.14035,3.28535,2.61498,0.01755,0.73262,0.04364,0.01388,0.00019,0.00802,0.0001,1e-05,2.53511,5.90927,2.93402,2.82752,6.668e-05,6.668e-05,6.668e-05
2,17.79,2.34456,6.125,3.13381,2.50725,0.01561,0.75134,0.14235,0.04301,0,0,0,0,2.68486,3.85209,2.91277,2.7433,0.000148545,0.000148545,0.000148545
3,24.5998,2.29631,4.96581,3.05669,2.32694,0.01402,0.62299,0.0974,0.02714,0,0,0,0,2.90537,3.68923,2.90967,2.89823,0.000228759,0.000228759,0.000228759
4,30.8054,2.09303,4.71807,2.97634,2.20464,0.01569,0.81016,0.2325,0.08356,0,0,0,0,2.20018,4.09154,2.8498,2.5831,0.000307323,0.000307323,0.000307323
5,38.4575,2.16094,4.04893,2.91536,2.17681,0.01441,0.80214,0.21702,0.0871,0,0,0,0,2.24668,4.1955,2.86352,2.79921,0.000384237,0.000384237,0.000384237
6,45.7897,1.95463,4.25239,2.76236,2.04763,0.01423,0.77273,0.22156,0.08333,0,0,0,0,2.13867,4.62703,2.79018,2.82683,0.0004595,0.0004595,0.0004595
7,52.0324,1.93387,4.33842,2.69878,2.04188,0.01632,0.79144,0.18677,0.07619,0,0,0,0,2.06905,5.3624,2.55828,2.5402,0.000533113,0.000533113,0.000533113
8,57.8319,2.02888,4.18554,2.70783,2.04186,0.01642,0.76738,0.1938,0.07266,0,0,0,0,2.12967,4.86486,2.44835,2.58826,0.000605076,0.000605076,0.000605076
9,63.3036,2.06389,3.9531,2.55417,2.07429,0.35138,0.239,0.20389,0.0757,0,0,0,0,2.17033,4.60134,2.3557,2.61734,0.000675388,0.000675388,0.000675388
10,68.5612,2.04329,3.9736,2.47397,2.01631,0.21315,0.11497,0.12433,0.04605,9e-05,0.00267,4e-05,1e-05,2.51601,4.39255,2.4238,2.598,0.00074405,0.00074405,0.00074405
11,73.8415,1.93812,4.09556,2.40977,1.98251,0.2651,0.31732,0.2066,0.08252,0.00039,0.01337,0.0002,4e-05,2.21962,4.08906,2.18653,2.34984,0.000811062,0.000811062,0.000811062
12,79.3114,1.98722,3.82482,2.45086,2.07044,0.24188,0.33155,0.18621,0.07252,0.00073,0.02674,0.00038,0.00011,2.13936,4.38184,2.24018,2.3635,0.000876424,0.000876424,0.000876424
13,84.8786,1.87946,3.94727,2.29864,1.98754,0.17321,0.31283,0.14848,0.05643,0.00083,0.03476,0.00045,0.00011,2.17487,4.00433,2.27227,2.46872,0.000940135,0.000940135,0.000940135
14,90.2903,1.93203,3.90808,2.39475,1.99757,0.17321,0.31283,0.14848,0.05643,0.00083,0.03476,0.00045,0.00011,2.17487,4.00433,2.27227,2.46872,0.0010022,0.0010022,0.0010022
15,96.2437,1.81429,3.72688,2.26031,1.91644,0.19931,0.35294,0.1765,0.06562,0.00037,0.01872,0.00019,4e-05,2.30188,3.59371,2.79965,2.54732,0.00106261,0.00106261,0.00106261
16,101.791,1.90178,3.95733,2.47279,1.99064,0.22036,0.36199,0.21133,0.07482,0.00061,0.03743,0.00032,6e-05,2.21375,3.45901,3.80558,2.58359,0.00112137,0.00112137,0.00112137
17,107.192,1.88612,3.77458,2.28287,1.96803,0.27135,0.2754,0.24139,0.09877,0.00194,0.04011,0.00054,0.00011,2.16941,3.39099,3.35192,2.45672,0.00117848,0.00117848,0.00117848
18,113.598,1.78723,3.67934,2.26834,1.87633,0.27135,0.2754,0.24139,0.09877,0.00194,0.04011,0.00054,0.00011,2.16941,3.39099,3.35192,2.45672,0.00123394,0.00123394,0.00123394
19,119.932,1.9131,3.80565,2.33625,1.98135,0.33193,0.29144,0.25769,0.09571,0.00366,0.04278,0.00087,0.00018,2.26198,3.24072,2.72031,2.53953,0.00128774,0.00128774,0.00128774
20,125.449,1.782,3.78417,2.16492,1.93505,0.25925,0.44917,0.23949,0.08857,0.00319,0.02139,0.00087,0.00023,2.17896,3.21566,2.56066,2.46156,0.0013399,0.0013399,0.0013399
21,130.802,1.78183,3.73112,2.1365,1.87344,0.25925,0.44917,0.23949,0.08857,0.00319,0.02139,0.00087,0.00023,2.17896,3.21566,2.56066,2.46156,0.00133693,0.00133693,0.00133693
22,136.701,1.78334,3.80277,2.24796,1.9327,0.15655,0.30749,0.12061,0.0397,0.00731,0.00535,0.00056,0.00012,2.35379,3.25231,3.12247,2.62155,0.00132043,0.00132043,0.00132043
23,142.635,1.85535,3.60294,2.15778,1.88743,0.20926,0.29144,0.1518,0.04993,0.00904,0.02139,0.00068,0.00013,2.23634,3.12836,2.82946,2.48846,0.00130393,0.00130393,0.00130393
24,148.478,1.81295,3.67381,2.13518,1.88473,0.20926,0.29144,0.1518,0.04993,0.00904,0.02139,0.00068,0.00013,2.23634,3.12836,2.82946,2.48846,0.00128742,0.00128742,0.00128742
25,154.883,1.7996,3.69652,2.16983,1.8952,0.18384,0.45989,0.16615,0.05356,0.0221,0.04545,0.00185,0.00033,2.22335,3.16276,3.53685,2.47918,0.00127092,0.00127092,0.00127092
26,160.423,1.82484,3.7355,2.19226,1.935,0.18384,0.45989,0.16615,0.05356,0.0221,0.04545,0.00185,0.00033,2.22335,3.16276,3.53685,2.47918,0.00125442,0.00125442,0.00125442
27,166.086,1.76319,3.79558,2.15344,1.86216,0.20988,0.47326,0.19453,0.06598,0.01194,0.04011,0.0014,0.00028,2.27223,3.28911,3.8091,2.55406,0.00123791,0.00123791,0.00123791
28,171.647,1.76405,3.60937,2.07595,1.81945,0.25855,0.38235,0.21588,0.07999,0.00989,0.04278,0.00124,0.00027,2.16292,3.15289,3.95203,2.51284,0.00122141,0.00122141,0.00122141
29,177.67,1.63909,3.57129,1.93335,1.75232,0.25855,0.38235,0.21588,0.07999,0.00989,0.04278,0.00124,0.00027,2.16292,3.15289,3.95203,2.51284,0.00120491,0.00120491,0.00120491
30,183.256,1.72698,3.38832,2.09421,1.8116,0.27514,0.41711,0.23947,0.09823,0.00581,0.03476,0.00083,0.00017,2.06171,2.9701,3.66979,2.46934,0.0011884,0.0011884,0.0011884
31,188.821,1.75022,3.43169,2.00696,1.84642,0.2573,0.44652,0.25316,0.09883,0.01519,0.01337,0.00104,0.00017,2.10847,2.91837,3.55462,2.51092,0.0011719,0.0011719,0.0011719
32,195.576,1.76178,3.35987,2.08332,1.82951,0.2573,0.44652,0.25316,0.09883,0.01519,0.01337,0.00104,0.00017,2.10847,2.91837,3.55462,2.51092,0.0011554,0.0011554,0.0011554
33,202.246,1.68327,3.52513,2.09302,1.78379,0.26681,0.40374,0.24359,0.08693,0.03038,0.01604,0.00172,0.00037,2.20725,2.842,3.67696,2.57312,0.00113889,0.00113889,0.00113889
34,208.061,1.75603,3.6642,2.08612,1.8723,0.26681,0.40374,0.24359,0.08693,0.03038,0.01604,0.00172,0.00037,2.20725,2.842,3.67696,2.57312,0.00112239,0.00112239,0.00112239
35,213.536,1.69134,3.42907,1.86744,1.69971,0.26444,0.43834,0.2588,0.0909,0.02287,0.01604,0.00191,0.00037,2.17042,2.83385,3.41806,2.44383,0.00110589,0.00110589,0.00110589
36,218.973,1.6801,3.52301,1.87999,1.68391,0.27329,0.39037,0.25857,0.10089,0.02004,0.01337,0.00146,0.00035,2.04688,2.92633,3.34432,2.33225,0.00108938,0.00108938,0.00108938
37,225.326,1.69036,3.50493,2.03274,1.73661,0.27329,0.39037,0.25857,0.10089,0.02004,0.01337,0.00146,0.00035,2.04688,2.92633,3.34432,2.33225,0.00107288,0.00107288,0.00107288
38,233.623,1.66094,3.61108,1.99685,1.70223,0.30615,0.40642,0.2702,0.11097,0.01996,0.02139,0.00217,0.00042,2.01169,2.90344,3.24035,2.29237,0.00105638,0.00105638,0.00105638
39,241.233,1.66722,3.63568,1.92958,1.78511,0.30968,0.38503,0.25205,0.10086,0.02164,0.01872,0.00172,0.00037,2.13669,2.86602,3.25249,2.34987,0.00103987,0.00103987,0.00103987
40,247.137,1.54523,3.26481,1.80233,1.68331,0.30968,0.38503,0.25205,0.10086,0.02164,0.01872,0.00172,0.00037,2.13669,2.86602,3.25249,2.34987,0.00102337,0.00102337,0.00102337
41,252.368,1.61007,3.74212,1.91129,1.73746,0.32197,0.3984,0.27282,0.11611,0.03595,0.01337,0.00297,0.00046,2.11276,2.84355,2.7246,2.32709,0.00100687,0.00100687,0.00100687
42,259.058,1.59819,3.11291,1.87241,1.65773,0.32197,0.3984,0.27282,0.11611,0.03595,0.01337,0.00297,0.00046,2.11276,2.84355,2.7246,2.32709,0.000990365,0.000990365,0.000990365
